Sector,Fecha,Hora,Mp10,Mp2_5
centro ,18/04/2019,18,47,44
universidad ,18/04/2019,18,28,26
centro ,18/04/2019,19,39,37
universidad ,18/04/2019,19,25,24
centro ,18/04/2019,20,53,51
universidad ,18/04/2019,20,56,54
centro ,18/04/2019,21,91,86
universidad ,18/04/2019,21,52,50
centro ,18/04/2019,22,75,71
universidad ,18/04/2019,22,91,89
centro ,18/04/2019,23,75,71
universidad ,18/04/2019,23,67,65
centro ,19/04/2019,0,59,56
universidad ,19/04/2019,0,97,95
centro ,19/04/2019,1,21,20
universidad ,19/04/2019,1,36,34
centro ,19/04/2019,2,19,18
universidad ,19/04/2019,2,23,21
centro ,19/04/2019,3,18,16
universidad ,19/04/2019,3,17,16
centro ,19/04/2019,4,18,16
universidad ,19/04/2019,4,15,14
centro ,19/04/2019,5,15,14
universidad ,19/04/2019,5,17,16
centro ,19/04/2019,6,16,14
universidad ,19/04/2019,6,14,13
centro ,19/04/2019,7,14,13
universidad ,19/04/2019,7,12,11
centro ,19/04/2019,8,14,13
universidad ,19/04/2019,8,14,13
centro ,19/04/2019,9,15,14
universidad ,19/04/2019,9,15,14
centro ,19/04/2019,10,16,15
universidad ,19/04/2019,10,17,16
centro ,19/04/2019,11,20,19
universidad ,19/04/2019,11,14,13
centro ,19/04/2019,12,26,24
universidad ,19/04/2019,12,13,12
centro ,19/04/2019,13,26,24
universidad ,19/04/2019,13,14,13
centro ,19/04/2019,14,56,54
universidad ,19/04/2019,14,13,12
centro ,19/04/2019,15,36,35
universidad ,19/04/2019,15,15,14
centro ,19/04/2019,16,28,26
universidad ,19/04/2019,16,21,20
centro ,19/04/2019,17,26,25
universidad ,19/04/2019,17,15,14
centro ,19/04/2019,18,73,69
universidad ,19/04/2019,18,13,12
centro ,19/04/2019,19,62,59
universidad ,19/04/2019,19,16,15
centro ,19/04/2019,20,30,28
universidad ,19/04/2019,20,36,34
centro ,19/04/2019,21,56,53
universidad ,19/04/2019,21,36,34
centro ,19/04/2019,22,50,46
universidad ,19/04/2019,22,58,56
centro ,19/04/2019,23,54,51
universidad ,19/04/2019,23,108,106
centro ,20/04/2019,0,168,154
universidad ,20/04/2019,0,148,146
centro ,20/04/2019,1,155,143
universidad ,20/04/2019,1,159,156
centro ,20/04/2019,2,93,87
universidad ,20/04/2019,2,172,169
centro ,20/04/2019,3,64,59
universidad ,20/04/2019,3,136,133
centro ,20/04/2019,4,49,45
universidad ,20/04/2019,4,80,78
centro ,20/04/2019,5,44,40
universidad ,20/04/2019,5,56,54
centro ,20/04/2019,6,42,39
universidad ,20/04/2019,6,82,80
centro ,20/04/2019,7,33,31
universidad ,20/04/2019,7,87,85
centro ,20/04/2019,8,36,34
universidad ,20/04/2019,8,35,33
centro ,20/04/2019,9,40,37
universidad ,20/04/2019,9,31,29
centro ,20/04/2019,10,47,43
universidad ,20/04/2019,10,33,31
centro ,20/04/2019,11,23,21
universidad ,20/04/2019,11,43,41
centro ,20/04/2019,12,26,25
universidad ,20/04/2019,12,18,17
centro ,20/04/2019,13,38,36
universidad ,20/04/2019,13,16,15
centro ,20/04/2019,14,26,24
universidad ,20/04/2019,14,25,24
centro ,20/04/2019,15,15,14
universidad ,20/04/2019,15,15,14
centro ,20/04/2019,16,20,19
universidad ,20/04/2019,16,11,10
centro ,20/04/2019,17,26,25
universidad ,20/04/2019,17,12,11
centro ,20/04/2019,18,53,50
universidad ,20/04/2019,18,18,17
centro ,20/04/2019,19,76,71
universidad ,20/04/2019,19,38,36
centro ,20/04/2019,20,75,70
universidad ,20/04/2019,20,77,75
centro ,20/04/2019,21,103,96
universidad ,20/04/2019,21,42,40
centro ,20/04/2019,22,74,70
universidad ,20/04/2019,22,37,35
centro ,20/04/2019,23,52,48
universidad ,20/04/2019,23,89,87
centro ,21/04/2019,0,44,41
universidad ,21/04/2019,0,155,152
centro ,21/04/2019,1,38,36
universidad ,21/04/2019,1,190,186
centro ,21/04/2019,2,27,25
universidad ,21/04/2019,2,195,192
centro ,21/04/2019,3,24,22
universidad ,21/04/2019,3,85,83
centro ,21/04/2019,4,23,20
universidad ,21/04/2019,4,36,34
centro ,21/04/2019,5,20,18
universidad ,21/04/2019,5,20,19
centro ,21/04/2019,6,18,16
